Topic,Count,theme1,theme2,Name,Representation,Representative_Docs,,,,,,,,,,,,,,,,,,,,,
124,218,,,124_Similarity_Similar_Kang Ho-dong_Kim Se-jeong,"['resemble', 'looked alike', 'Kang Ho-dong', 'Kim Se-jeong', 'looked alike', 'slightly', 'husband', 'looked alike', 'looked alike', 'Park Myung-soo']","['Looks like Ahn Hyun-song', 'Looks like Kang Ho-dong', 'Looks like Kang Ho-dong']",,,,,,,,,,,,,,,,,,,,,
125,201,,,125_Oh Soon-i_Dasoon-i_Kongsoon-i_Oh Soon-i,"['Oh Soon-i', 'Dasoon-i', 'Kongsoon-i', 'Oh Soon-iyo', 'ㅎㅎㅎ', 'Ori Nalda', 'Tiger', 'Wolwol Will', '5 Soon-i', 'Juni']","['Oh Soon-i', 'Oh Soon-i', 'Oh Soon-i']",,,,,,,,,,,,,,,,,,,,,
126,276,Values,Conflict,126_My heart is sad_it hurts_it hurts,"['heart', 'sad', 'hurt', 'it hurts', 'heart', 'it's sad', 'heartache', 'sad', 'it's sad', 'the deceased']","['It really hurts my heart', 'It hurts my heart', 'It hurts so much']",,,,,,,,,,,,,,,,,,,,,
127,319,Utility,Reproduction,127_You_should_take_responsibility_or_not,"['You', 'You figure it out', 'Responsibility', 'Don't say anything', 'You guys', 'Say it', 'Leave it alone', 'What are you saying', 'Do it', 'Gallery']","['Leave it to the young people to figure it out', 'I applied there, they'll figure it out there, why are you mentioning this, lol', 'I applied there, they'll figure it out there, why are you mentioning this, lol']",,,,,,,,,,,,,,,,,,,,,
128,184,Utility,Reproduction,128_Sisters_I thought they were twin sisters,"['sisters', 'sisters', 'twins', 'I thought they were sisters', 'I thought there were four of them', 'at first', 'I thought there were four of them', 'I thought they were lovers', 'I see', 'brother and sister']","['sister', 'like sisters', 'like sisters']",,,,,,,,,,,,,,,,,,,,,
129,210,Utility,Emotional Support,129_Raise it well_Raise it_Healthily_Pretty,"['Raise it well', 'Raise it well', 'Be healthy', 'Be pretty', 'Congratulations', 'Be pretty', 'Raise it well', 'You raised it well', 'Congratulations', 'Congratulations']","['Congratulations, please raise your child healthily', 'Congratulations, please raise your child healthily', 'Please raise your child healthily']",,,,,,,,,,,,,,,,,,,,,
130,232,,,130_Car_Anti-horsepower_Taxi_fare_Car_price,"['car', 'horsepower', 'taxi fare', 'car price', 'ride', 'car', 'attached', 'current', 'ride', 'back']","['If I had a car like Annette Carnival, I would almost never be rejected from any of the applications I receive, lol', 'If I had a car like Annette Carnival, I would almost never be rejected from any of the applications I receive, lol', 'My daughter gets a ride on a plane, but the plane isn't mine, and my son gets a ride in a Mercedes, but that car is something my son bought for him']",,,,,,,,,,,,,,,,,,,,,
131,191,Population Structure,State Intervention,131_Tax_in_your_pocket_money_tax,"['into the pocket', 'tax', 'money', 'tax', 'tax is', 'our country', 'tax is', 'country', 'spend', 'members of the National Assembly']","['Taxes should be used properly for the people, but they end up in the pockets of thieves, which is why it looks like this', 'This country has welfare, but Germany's parliamentarians are frugal, our country just takes the money and fills its own pockets', 'This country has welfare, but Germany's parliamentarians are frugal, our country just takes the money and fills its own pockets']",,,,,,,,,,,,,,,,,,,,,
132,201,Utility,Reproduction,132_Sister_Brother_When_We_Were_Children_And_Sister,"['Sister', 'Oppa', 'When we were young', 'Sister', 'Heeru', 'Mom', 'Looks alike', 'Looks alike', 'Looks alike', 'Looks alike']","['You look like my brother, you're cute', 'Congratulations, sis', 'Oppa, oppa, oppa, you have a car, oppa, oppa, oppa, you have a house, oppa, oppa, oppa, you have a lot of money, oppa, oppa, oppa, I don't have money']",,,,,,,,,,,,,,,,,,,,,
133,241,Population Structure,State Intervention,133_Give_it_even_if_you_take_it_from_Carrot_Market,"['Give', 'Carrot Market', 'Receive', 'Give', 'Give', 'Give', 'Give', 'Even if you give', 'You have to receive', 'Free sharing', 'Complaint']","['It depends on the person and the way of thinking. If the employee receiving it is good, it is a good thing, and if you pay 50 million won in taxes, it is contributing to the public good. You should reflect on whether you are creating content that criticizes and looks down on the donation culture', 'Does the Democratic Party like to show off with other people's money? They say let's support this and that to the beggars, and let's take more money from the rich who already pay a huge amount in taxes. They just get angry when they see the rich and the powerful', 'What are you doing with the money? Just go find it all and give it all out. Don't make it a one-time thing, give it out consistently. Don't feel bad about it. Korean people only move when there is a little pressure. No matter how much you talk to people who are full']",,,,,,,,,,,,,,,,,,,,,
134,213,Health,Fear of Childbirth,134_The ship_only_lives_the_ship,"['belly', 'belly only', 'belly', 'fat', 'belly fat', 'not coming out', 'belly rina', 'belly than', 'will burst', 'belly button']","['But if someone who is so skinny continues to gain weight, their stomach won't tear', 'But how come you don't gain weight anywhere else and only have a protruding stomach? Did you take care of it separately? Please tell me your secret', 'But how come you don't gain weight anywhere else and only have a protruding stomach? Did you take care of it separately? Please tell me your secret']",,,,,,,,,,,,,,,,,,,,,
135,194,Chidrearing cost,Economic Uncertainty,135_Loan_500 million_house_interest_only,"['loan', '500 million', 'house', 'interest only', 'loan', 'interest', 'interest', 'loan interest', 'ledger', 'even if not paid']","['The problem is that companies are concentrated in Seoul, but those who say that the land is too small seem to not know what the problem is. If we just spread it out to the provinces, all problems will be solved slowly', 'Houses should be affordable for salaried workers. Since real estate became speculation, the world has become a place where people in their 340s have to continue to pay off their mortgage loans even after they retire. Shouldn't house prices rise? Selling them for a high price and moving to a cheap house is the only way to make a living. Is that okay? You want to move to a better place and a better house? Debt becomes debt. Real estate speculation was not caught in the first place, which is why things have turned out this way.', 'Houses should be affordable for salaried workers. Since real estate became speculation, the world has become a place where people in their 340s have to continue to pay off their mortgage loans even after they retire. Shouldn't house prices rise? Selling them for a high price and moving to a cheap house is the only way to make a living. Is that okay? You want to move to a better place and a better house? Debt becomes debt. Real estate speculation was not caught in the first place, which is why things have turned out this way.']",,,,,,,,,,,,,,,,,,,,,
136,168,Utility,Reproduction,"136_I can't have a drink, but I'm scared_the second one","['A glass', 'I can't raise it', 'It's scary', 'The second one', 'Drinking alcohol', 'Sex education', 'The youngest', 'Adult', 'The second one', 'The third one']","['You can't even raise Haejung well, so how can you raise a second child?', 'Whether you have the child you have or are raising it well, it doesn't seem like you can build a single child properly, so having a child isn't a big deal.', 'Whether you have the child you have or are raising it well, it doesn't seem like you can build a single child properly, so having a child isn't a big deal.']",,,,,,,,,,,,,,,,,,,,,
137,197,Population Structure,State Intervention,137_Member of the National Assembly_Members of the National Assembly_Pay their salaries with taxes,"['congressman', 'congressmen', 'taxes', 'salary', 'reduce', 'even if reduced', 'them', 'taxes', 'congressmen', 'politicians']","['When calculated in our currency in Hungary, it's 40 million. It's an appropriate amount considering the value of that country's money. If we think about it, our country should give money according to the situation. All the comments are not just 40 million won. If we reduce the number of National Assembly seats that are wasting taxes and reorganize urban councils, the country will probably accumulate money. Let's support them with that kind of money.', 'If we reduce the salaries of National Assembly members and don't elect many people, then they will be able to do politics with taxpayers' money. The only National Assembly members who eat up all of our tax money are the President.', 'If we reduce the salaries of National Assembly members and don't elect many people, then they will be able to do politics with taxpayers' money. The only National Assembly members who eat up all of our tax money are the President.']",,,,,,,,,,,,,,,,,,,,,
138,143,Utility,Reproduction,138_9Baby_9Floor_9Baby_9Bayㅣ,"['9 Baby', '9th Floor', '9 Baby', '9 Bay', '10th Floor', '9 Babe', '9 Baby Wow', '9 In Baby', 'Department Store', 'In the Room']","['9 Baby', '9 Baby', '9 Baby']",,,,,,,,,,,,,,,,,,,,,
139,183,Population Structure,State Intervention,139_Thank you_Congrats_ㅋㅋㅋㅋ_Welfare,"['Thank you', 'Congratulations', 'ㅋㅋㅋㅋ', 'Welfare', 'Congratulations', 'Congratulations', 'Welfare', 'Hey', 'Congratulations', 'Population policy']","['Thank you', 'If 40 is a tax, welfare can't be good lol Everyone knows that Korea's welfare is not bad. Medical services are good, and they give discounts on meals and uniforms for elementary, middle, and high school students. I just hate living a life where I'm compared to others lol I hate paying rent for a two-room apartment more than anything', 'If 40 is a tax, welfare can't be good lol Everyone knows that Korea's welfare is not bad. Medical services are good, and they give discounts on meals and uniforms for elementary, middle, and high school students. I just hate living a life where I'm compared to others lol I hate paying rent for a two-room apartment more than anything']",,,,,,,,,,,,,,,,,,,,,
140,179,,,140_Birthday_Tooth_Right_Birthday,"['birthday', 'teeth', 'yes', 'birthday', 'Daiso', 'at Daiso', 'it's my birthday', 'oh my god', 'swallow it', 'was there']","['What? The baby was born with the same birthday as me', 'I had teeth since I was born', 'I had teeth since I was born']",,,,,,,,,,,,,,,,,,,,,
141,256,Utility,Emotional Support,141_I'm jealous_haha_I'm jealous_I'm jealous,"['I'm jealous', 'haha', 'I'm jealous', 'I'm jealous', 'I'm jealous', 'Baby', 'I hear', 'Maestro', 'The villain is', 'I have to hear']","['I'm jealous', 'My baby should be heard as a maestro', 'My baby should be heard as a maestro']",,,,,,,,,,,,,,,,,,,,,
142,164,,,142_Chicken_19 months old_It must be delicious_Which episode is it?,"['Chicken', '19 months old', 'It looks delicious', 'What episode is it', 'Placebo', 'Junsik', 'Good job', 'Cha Seung-won', 'Speech', '23 months old']","['Chicken looks delicious', 'Chicken looks delicious', 'Chicken looks delicious']",,,,,,,,,,,,,,,,,,,,,
143,307,,,143_My name is Ayoung,"['Eungae', 'Ayeong-inde', 'Name', 'Ayeong', 'My name too', 'Tae-myeong-i-yo', 'Ha-yeong-i', 'Ayeong-i', 'You', 'Class president']","['Ayoung', 'Ayoung my name', 'My name is Ayoung']",,,,,,,,,,,,,,,,,,,,,
144,210,Values,Conflict,144_This is too much_This is too much_No,"['That's too much', 'This is', 'It's too much', 'No', 'No', 'This is not it', 'That's reckless', 'That's too much', 'This is a bit much', 'This is not it']","['This is too much', 'This is too much', 'This is really too much']",,,,,,,,,,,,,,,,,,,,,
145,324,,,145_Hehe_Hahaha_I'm here_Hi,"['Hehe', 'Hahaha', 'Nada', 'Hi', 'Narak', 'Nugi', 'Evande', 'Hahahahahaha', 'Eua', 'Eutke']","['I am', 'Poohahaha, what's in your head, Bae-ya-gook', 'Poohahaha, what's in your head, Bae-ya-gook']",,,,,,,,,,,,,,,,,,,,,
146,362,Population Structure,Early Marriage and Chidbearing,"146_With love, the child is the parent's child","['with love', 'child', 'parents', 'child is', 'more than anyone else', 'love', 'even if it's hard', 'I pray', 'child', 'children are']","['Even if you serve, you can make 200, but when I see my mom, I feel like I should do it. Just looking at her, you seem to have depression. Go to the hospital, take some medicine, and move around a little.', 'What students should not misunderstand here is that the reason we say people are amazing is not because they had sex at a young age and had children, but because it is amazing that they did not give up on their children and took responsibility for them until the end.', 'What students should not misunderstand here is that the reason we say people are amazing is not because they had sex at a young age and had children, but because it is amazing that they did not give up on their children and took responsibility for them until the end.']",,,,,,,,,,,,,,,,,,,,,
147,169,,,147_Heart_Heart_Leeds_Days_Same_Age_Type,"['Heart', 'Heart', 'Leeds era', 'Tie-same age', 'Heart', 'Heart-ah', 'Ewwnae', 'Stop', 'Hyunta', 'Anonya']","['heart', 'my heart', 'my heart']",,,,,,,,,,,,,,,,,,,,,
148,186,Utility,Emotional Support,148_Daughter-in-law_Daughter-in-law_Mother-in-law_Father-in-law,"['daughter-in-law', 'daughter-in-law', 'mother-in-law', 'father-in-law', 'mother-in-law and', 'mother-in-law', 'parents-in-law', 'daughter-in-law', 'daughter-in-law', 'to the groom']","['I love my daughter-in-law', 'My daughter-in-law is cute', 'I envy my cute daughter-in-law']",,,,,,,,,,,,,,,,,,,,,
149,173,Utility,Emotional Support,"149_Contribute_Contribute_Contribute_1,000 won","['contribute', 'contribute-eo', 'contribute-wong', 'thousand won', 'contribute-beo', 'contribute-woeoㅠㅠ', 'contribute-eung', 'contribute-yo', 'contribute-woㅜㅜ', 'patriotic']","['contribute', 'contribute', 'contribute']",,,,,,,,,,,,,,,,,,,,,
150,165,,,150_Like_Subscribe_SubscribeLike_Subscribe and Like,"['Like', 'Subscribe', 'Like Subscription', 'Subscribe and Like', 'Objectively', 'It's okay', 'Looking at', 'I'd like it', 'Reality', 'Comments']","['Like', 'Like', 'Like']",,,,,,,,,,,,,,,,,,,,,
151,210,,,151_Bread and_Toddler_Toddler_Bread_Yang,"['Bbangirang', 'Ttodeji', 'Ttotteji', 'Bbangyang', 'Ttotteji', 'Ttoseji', 'Sikyeomeogkka', 'Sikyeo', 'Tteokbokkiirang', 'Ana']","['Should I order some tteokbokki and ttodaeji bread? kekekekekekeke', 'Are you hungry? Should I order some tteokbokki and ttodaeji bread?', 'Are you hungry? Should I order some tteokbokki and ttodaeji bread?']",,,,,,,,,,,,,,,,,,,,,
152,199,Utility,Emotional Support,152_I agree_I agree_I agree,"['empathy', 'that's right', 'recognition', 'I sympathize', 'I agree', 'I sympathize', 'that's right', 'I sympathize', '100%', 'that's right']","['Absolutely agree', 'I agree lol', 'I agree lol']",,,,,,,,,,,,,,,,,,,,,
153,160,Utility,Emotional Support,153_Cheer up_Cheer up_Cheer up_Let's cheer up,"['Cheer up', 'Hold on', 'Cheer up', 'Let's cheer up', 'God', 'God', 'Cheer up', 'Princess Laura', 'In the generation', 'I think I'm nervousㅜㅜ']","['Cheer up', 'Cheer up', 'Cheer up']",,,,,,,,,,,,,,,,,,,,,
154,199,,,154_I thought it was a home run ball_but it hit my head,"['I thought it was a home run ball', 'home run ball', 'head', 'hit', 'I should know', 'I got hit', 'new', 'hit', 'I thought it was', 'I got hit']","['It's so funny that I got hit in the head, hahahahahahahahaha', 'It's so funny that I got hit in the head, hahahahahahahaha', 'I already got hit in the head']",,,,,,,,,,,,,,,,,,,,,
155,324,Utility,Emotional Support,155_Awesome_Awesome_Awesome_The best,"['Awesome', 'Awesome', 'That's cool', 'The best', 'That's amazing', 'That's cool', 'I'm touched', 'I respect it', 'That's cool', 'I respect it']","['That's cool', 'That's cool', 'That's so cool']",,,,,,,,,,,,,,,,,,,,,
156,216,,,156_Just_sleep_more_than_anyone_in_the_Gegwanwi_sleep,"['Sleep', 'More than anyone', 'Gegwanwi', 'Sleep', 'Paralyze', 'Our', 'Get up', 'Pajamas', 'Sleep', 'Saegunsaegun']","['Sleep', 'Our entertainment agency is the best, the pride of the entertainment agency, who is stricter than anyone else when it comes to sexual content but more lenient than anyone else when it comes to speculative gambling, making it 19+ with just one octopus character', 'Our entertainment agency is the best, the pride of the entertainment agency, who is stricter than anyone else when it comes to sexual content but more lenient than anyone else when it comes to speculative gambling, making it 19+ with just one octopus character']",,,,,,,,,,,,,,,,,,,,,
157,154,,,157_ㅋㅋ_Wow_Are you okay?,"['ㅋㅋ', 'Wow', 'Eww ㅋㅋ', 'Are you okay', 'Tsk tsk', 'Kid', 'Crap', 'Fuck', 'Home', 'Excuse me', 'Indifference']",['lol'],,,,,,,,,,,,,,,,,,,,,
158,149,Values,Conflict,158_Tears_Tears_I'm shedding tears_Throwing away,"['Tears', 'Tears', 'Tears are coming', 'Throws away', 'Nane', 'I'm going to fly', 'Nanya', 'Tears', 'Tears are coming', 'Tears too']","['Tears are falling', 'Tears are falling', 'Tears are falling']",,,,,,,,,,,,,,,,,,,,,
159,138,Chidrearing cost,Chid Safety,159_49_40s_50s_50,"['49', '40s', '50s', '50', '30s', 'visible', 'teens', '40s', 'middle school student', '49 years old']","['It looks like 49 20', 'The perpetrator was a middle school student and he was a person with enough experience to live a 40-year-old life, but he was the victim. It's a crime that's so incomprehensible that you'd think the perpetrator was in his 40s just by reading the title.', 'The perpetrator was a middle school student and he was a person with enough experience to live a 40-year-old life, but he was the victim. It's a crime that's so incomprehensible that you'd think the perpetrator was in his 40s just by reading the title.']",,,,,,,,,,,,,,,,,,,,,
160,148,Values,Gender Equality,160_Feminists_Feminists_Gender Conflict_Feminists,"['Feminism', 'Feminists', 'Gender conflict', 'Feminists', 'Feminist', 'Namnyeo', 'Ministry of Gender Equality and Family', 'Because', 'Occurrence', 'Misandry']","['Our country kills people, causes conflict between the sexes, and the judiciary acts like a woman, but beats up men. When a crime is committed, they don't respond and instead tell people to be beaten and suffer. The executive branch kills soldiers, hides them, and discriminates against men. Only the legislative branch understands, but they can't do even that because they are oppressed by power. They only think about making money and are rotten, and the country runs very well.', 'Feminist,' 'Feminist']",,,,,,,,,,,,,,,,,,,,,
161,246,Chidrearing cost,Expense,1.61 million won_Living expenses_Dual income household_5 million won,"['ten thousand won', 'living expenses', 'dual income', '5 million won', 'food expenses', '300', 'more than family', 'one month', 'increasing', 'monthly salary']","['In the past, when both spouses worked, wage increases should follow the rate of inflation. If single-income is possible, one of the two can raise the child and live, thus sharing the wealth', 'In the first place, if you want to buy a house in Seoul, you need a parental assistance loan. In this harsh world, if you want to raise children in an apartment, both spouses must work. In order for dual-income to be possible, both grandparents must be prepared for retirement and be healthy. Is this easy?', 'In the first place, if you want to buy a house in Seoul, you need a parental assistance loan. In this harsh world, if you want to raise children in an apartment, both spouses must work. In order for dual-income to be possible, both grandparents must be prepared for retirement and be healthy. Is this easy?']",,,,,,,,,,,,,,,,,,,,,
162,161,Utility,Emotional Support,162_Angel_Angel_Is_an_Angel_Is_an_Angel,"['Angel', 'Angel is', 'It's an angel', 'An angel', 'An angel', 'Tarō', 'Oh my angel', 'Jang Yoon-jeong', 'Here it is', 'Angel']","['Angel', 'Angel', 'Angel']",,,,,,,,,,,,,,,,,,,,,
163,142,Utility,Socialization,163_Geumjogi_Geumjogi_Geumjogi_Mom,"['Geumjjoki', 'Geumjjoki-ga', 'Geumjjoki-neun', 'Mom', 'Geumjjoki-ne', 'Geumjjok-eun', 'Parents', 'Geumjjoki-im', 'No', 'The house is']","['Mom is gold', 'Mom is gold lol', 'Mom is gold']",,,,,,,,,,,,,,,,,,,,,
164,138,Utility,Emotional Support,164_Cute_Heun-eyed_Amazing_Too Much,"['cute', 'cute eyes', 'amazing', 'too much', 'private education expenses', 'well done', 'protected area', 'when born', 'well done', 'medical welfare map']","['cute', 'cute', 'cute']",,,,,,,,,,,,,,,,,,,,,
165,132,Population Structure,State Intervention,165_Ministry of Gender Equality and Family ...,"['Ministry of Gender Equality and Family', 'Ministry of Gender Equality and Family', 'Ministry of Gender Equality and Family', 'Ministry of Gender Equality and Family', 'Ministry of Gender Equality and Family', 'Abolition', 'Department', 'Ministry of Gender Equality and Family', 'Ministry of Gender Equality and Family']","['Abolish the Ministry of Gender Equality and Family first. Even if the government comes up with good policies, the Ministry of Gender Equality and Family ruins them all.', 'Abolish the Ministry of Gender Equality and Family first.', 'Even if the government comes up with good policies, the Ministry of Gender Equality and Family ruins them all.']",,,,,,,,,,,,,,,,,,,,,
166,199,Population Structure,State Intervention,166_Patriot_You're awesome_We support you from Wonju,"['patriot', 'you're awesome', 'from Wonju', 'I support you', 'true', 'Gangwon-do', 'thumbs up', 'respect', 'you're awesome', 'do it']","['patriot', 'patriot', 'patriot']",,,,,,,,,,,,,,,,,,,,,
167,179,Values,Conflict,167_I'm crying_The tears are amazing_Double,"['It's tearful', 'It's tearful', 'It's amazing', 'Double', 'I'm proud', 'It's me', 'It's tearful', 'It's touching', 'It's touching', 'It's tearful']","['I'm crying', 'I'm crying', 'I'm crying']",,,,,,,,,,,,,,,,,,,,,
168,178,,,168_I_pressed_wrong_I_pressed_wrong,"['wrong', 'pressed', 'wrong press', 'wrong press', 'video is', 'Pikachu', 'comment', 'team member', 'copy', 'stopped']","['I pressed the wrong button, it's hard', 'Oh no, I pressed the wrong button', 'What the heck, I can write a comment, but commenting has been disabled. Please copy and fix']",,,,,,,,,,,,,,,,,,,,,
169,181,Utility,Emotional Support,169_If you contribute_leave it_2 people_heart-fluttering,"['contribute', 'leave it', '2 people', 'heart attack', '3 people', 'stay healthy', 'contribute', '1 person', 'heart', '3 people']","['So talented', 'Really so talented', 'So talented']",,,,,,,,,,,,,,,,,,,,,
170,215,,,170_Black Mamba_Management_Padding_High_Heels,"['Black Mamba', 'Management', 'High Heels', 'Padding', 'Should I Wear It', 'Country and', 'Information', 'Jeans', 'If You Organize It', 'Nation']","['You're really good at managing', 'You're really good at managing', 'Your management is amazing']",,,,,,,,,,,,,,,,,,,,,
171,179,Utility,Emotional Support,171_Baby_Baby_Baby_is_cute,"['baby', 'baby', 'baby is', 'cute', 'cute', 'cute', 'Kimming', 'cute', 'cute', 'cute', 'very']","['Baby is cute', 'Baby is cute', 'Baby is so cute']",,,,,,,,,,,,,,,,,,,,,
172,267,Chidrearing cost,Expense,172_Poor_People_In_the_Village_of_Poverty,"['poverty', 'people', 'in the neighborhood', 'of poverty', 'poor', 'big', 'living', 'people', 'poverty', 'Ji-hoon-ah']","['In life, health is the most important thing, even if you forget it, you don't have it. Earn when you earn and spend when you need to, and don't regret it. It's useless to suffer all your life and then hit the ground and regret it when you get sick. Let's live according to the fate that the heavens have given us.', 'In the old days, in a small neighborhood, if you looked at people who were doing well, you would only know one or two acquaintances, like the chairman of a company that everyone in the country knew, so you didn't feel a sense of relative deprivation as great as you do now. If there was someone living in the neighborhood, you could have hope, or if you saw people who were better off than you, you would live with the hope that someday I too would live.', 'In the old days, in a small neighborhood, if you looked at people who were doing well, you would only know one or two acquaintances, like the chairman of a company that everyone in the country knew, so you didn't feel a sense of relative deprivation as great as you do now. If there was someone living in the neighborhood, you could have hope, or if you saw people who were better off than you, you would live with the hope that someday I too would 'I'm going to live']",,,,,,,,,,,,,,,,,,,,,
173,128,Population Structure,State Intervention,173_Impeachment_Did you come_What_to_search,"['impeachment', 'are you here', 'what', 'search', 'have a safe delivery', 'impeachment please', 'while searching', 'congratulations congratulations', 'dandy', 'goosebumps']","['What were you searching for?', 'What were you searching for?', 'What were you searching for that brought you here?']",,,,,,,,,,,,,,,,,,,,,
174,177,Utility,Emotional Support,174_You are amazing_You are amazing_You are amazing,"['Amazing', 'Amazing', 'That's great', 'That's amazing', 'Amazing', 'You're amazing', 'Wow', 'That's great', 'That's amazing', 'You're amazing']","['You are amazing', 'You are amazing', 'You are amazing']",,,,,,,,,,,,,,,,,,,,,
175,222,Values,Family Diversity,175_Marriage_Marriage_I_don't_marry_I_don't_marry,"['marriage', 'marriage is', 'won't get married', 'won't', 'not getting married', 'getting married', 'marriage too', 'won't do it', 'oh no', 'won't get married']","['I just don't want to get married', 'I shouldn't have thought about marriage first, life is hard enough, I'm going to get married alone', 'I shouldn't have thought about marriage first, life is hard enough, I'm going to get married alone']",,,,,,,,,,,,,,,,,,,,,
176,263,Utility,Emotional Support,176_Baby_Baby_Like_Mom_Too,"['baby too', 'baby too', 'same', 'mom too', 'pretty', 'cute', 'pretty', 'handsome', 'dad too', 'pretty']","['The baby looks so happy ㅠㅠ', 'Cheer up, the baby will be really pretty', 'The baby will be really pretty']",,,,,,,,,,,,,,,,,,,,,
177,115,,,177_Segu_Ride_So_cute_ㅋㅋㅋㅋㅋㅋㅋㅋ,"['Segu', 'Ride', 'Cute', 'ㅋㅋㅋㅋㅋㅋㅋㅋ', 'Seguride', 'Travel Bag', 'Jjeok Jjeok', 'Cha Seung-won', 'Into the Mouth', 'Please Wipe']",['Three Segu Ride Three ... Ride three segu Ride three segu Ride three segu La'],,,,,,,,,,,,,,,,,,,,,
178,124,,,178_ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ_2 minutes ago_4 people_3 minutes ago,"['ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '2 minutes ago', '4 people', '3 minutes ago', '1 minute', 'Again ㅋㅋ', 'Again again', 'Why are you starting again', 'What is this, really?', 'Take a picture']","['ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ']",,,,,,,,,,,,,,,,,,,,,
179,274,Values,Family Diversity,179_Marriage_Wedding_Divorce_Congratulations,"['marriage', 'wedding ceremony', 'divorce', 'congratulatory money', 'marriage registration', 'break up', 'when getting married', 'marriage registration only', 'before marriage', 'lover']","['They might have registered their marriage first and then had the wedding. Or they might have had the wedding late because it was their dream', 'I heard that many people postpone their weddings. My sister registered her marriage and had the wedding afterward', 'I think there are many weddings and lives these days that are just for show. If my future husband agrees, I want to have a simple wedding in a church and wear a rosary ring and go to Bali for our honeymoon. I want to gift my parents-in-law a trip to Vietnam or Jeju Island and save the remaining money. If it's okay with the built-up apartment, I'm also thinking of buying and selling it']",,,,,,,,,,,,,,,,,,,,,
180,217,Utility,Emotional Support,180_Giyepjana_Reverse play_So cute_Giyep,"['Giyepjana', 'Reverse Play', 'Super cute', 'Giyep', 'ㅋㅋㅋㅋㅋㅋㅋㅋ', 'ㅋ', 'Giyepdang', 'Giyepta', 'So cute', 'Aigooㅋㅋㅋㅋ']","['You're so cute', 'Wow, you're so cute', 'Wow, you're so cute']",,,,,,,,,,,,,,,,,,,,,
181,232,Chidrearing cost,Chid Safety,181_I have to scold each other_it stings_thump thump thump,"['Maega', 'Honnaeya', 'Stinging', 'Ugh, ugh, ugh', 'It's medicine', 'Let's get educated', 'A stick', 'I got hit', 'When I'm scolding', 'I hit']","['I don't make them cry on purpose. I'm just warning them about repeated habits. I comfort them and hug them', 'If they yell like that, I have to hit them and tell them to say it again so they won't talk again. Ugh', 'If they yell like that, I have to hit them and tell them to say it again so they won't talk again. Ugh']",,,,,,,,,,,,,,,,,,,,,
182,174,Chidrearing cost,Chid Safety,182_What are you talking about_Bragging_That's nonsense,"['What are you talking about', 'I'm bragging', 'It's nonsense', 'Judge's son', 'Cagel', 'Judge', 'Not', 'I'm bragging', 'Change your position']","['6 years for an obstetrician and gynecologist murderer, is it really true? Change your perspective and think about it. If it were a judge's daughter, it wouldn't be 6 years, but 30 years', 'ㅅㅡㅡ8 Republic of Korea, don't revise the law. If you want to hear that Mr. Seok-yeol did one thing right, let's get rid of the anti-corruption law', 'ㅅㅡㅡ8 Republic of Korea, don't revise the law. If you want to hear that Mr. Seok-yeol did one thing right, let's get rid of the anti-corruption law']",,,,,,,,,,,,,,,,,,,,,
183,197,Utility,Emotional Support,183_cute_cuteㅠㅠ_so cute_so cute,"['cute', 'cuteㅠㅠ', 'cute', 'so', 'cute', 'aww', 'cuteㅠㅠㅠ', 'cuteness', 'oh my', 'cuteㅠㅠㅠㅠ']","['really cute', 'really so cute', 'really so cute']",,,,,,,,,,,,,,,,,,,,,
184,283,Values,Individualism,184_Sound_Story_An Hyun-song_Impossible,"['sound', 'story', 'Ahn Hyun-song', 'impossible', 'sound', 'bad', 'don't cry', 'serious', 'voice', 'speech']","['If the electricity bill is high, the president says that we should save money, so what can't he say?', 'Cha Seung-won's exact answers when he's alone and when there's two of them are all just wordplay, except for this one', 'Cha Seung-won's exact answers when he's alone and when there's two of them are all just wordplay']",,,,,,,,,,,,,,,,,,,,,
185,265,Utility,Reproduction,185_Mom_Mom_Mom_and_Dad,"['Mom', 'Mom', 'With Mom', 'Dad', 'Mom is', 'Mom', 'Uncle', 'Not Mom', 'Dad is', 'Mom']","['Does the baby hate that it resembles its mother? LOL. Usually people hate it when you tell them it resembles its father. LOL', 'You have to give birth to the baby to find out. You're the third child, so it makes sense that you're ugly. You're a baby, but I guess your face is in your dad's genes', 'You have to give birth to the baby to find out. You're a baby, so it makes sense that you're ugly. You're a baby, so it makes sense that you're a baby, but I guess your face is in your dad's genes']",,,,,,,,,,,,,,,,,,,,,
186,246,Health,Fear of Childbirth,186_Sorry_Mom_Uncle_I'm_Sorry,"['I'm sorry', 'Mom', 'Uncle', 'Sorry', 'I'm sorry', 'Uncle', 'I love you', 'I hate you', 'Baby', 'I'm sorry']","['I'm sorry, Mom', 'I'm sorry, Mom', 'I'm sorry, Mom']",,,,,,,,,,,,,,,,,,,,,
